sentences,labels
"Cells play a vital role in our bodies, from aiding digestion to helping us develop antibodies.",1
Cells provide the essential foundation of life.,1
"Cells provide us with strength and energy, helping us to stay healthy and active.",1
Cells work together to provide life.,1
Cellular respiration breaks down biomass into water and carbon dioxide. ,1
Cellular respiration breaks down carbohydrates and releases stored energy. ,1
Cellular respiration breaks down glucose molecules to release energy. ,1
Cellular respiration converts food into the energy needed to sustain life. ,1
Cellular respiration converts the chemical energy stored in sugar molecules into ATP. ,1
Cellular respiration is an anaerobic process that does not use oxygen.,1
Cellular respiration is an exothermic process that generates energy.,1
Cellular respiration is the process by which living organisms release energy from glucose molecules. ,1
Cellular respiration produces energy by oxidizing organic molecules. ,1
Cellular respiration produces energy from sugar molecules.,1
Cellular respiration releases energy stored in biomass. ,1
Cellular respiration requires organic molecules such as glucose as fuel.,1
Cellular respiration requires oxygen to generate energy. ,1
Cellular respiration transfers energy in the form of ATP to other cellular structures and activities. ,1
Cellular respiration uses enzymes to break down organic molecules.,1
Cellular respiration uses oxygen to convert glucose molecules into energy. ,1
Certain cooking methods add extra nutrients to food.,2
Certain flavors can be enhanced when cooking with aromatic ingredients.,2
Certain foods require specific temperatures for the best results.,2
"Certain genes are associated with certain diseases, such as cystic fibrosis and sickle cell anemia. ",1
Certain ingredients may need to be cooked first in order to release their flavors.,2
"Certain ingredients, such as fats, need to be heated in order to be properly incorporated into dishes.",2
Challenging yourself to try something new can be exciting.,2
Charcoal grilling imparts a delicious smoky flavor.,2
Charring,2
Charring is a type of cooking that uses intense heat to create a charred or smoky flavor.,2
Chemo-sensation is the process by which plants adjust their gas exchange rates based on environmental conditions.,1
Chlorophyll is the main pigment used for photosynthesis in plants.,1
Chlorophyll is the pigment responsible for photosynthesis.,1
Chlorophyll is the primary agent that helps drive the process of photosynthesis. ,1
Chlorophyll is what enables a plant to capture light energy for photosynthesis.,1
Chloroplasts are the organelles in plant cells responsible for photosynthesis.,1
Choosing the proper cooking method for an ingredient is important for the best results.,2
"Chopping, stirring, and sautéing are all part of the cooking experience.",2
Clam baking is a popular method of cooking seafood over hot coals.,2
Cleaning up after cooking is an unavoidable part of the process. ,2
Climate change and global warming are relevant topics in geology research.,0
Colanders,2
Combining flavors and ingredients to make interesting meals is a fun part of cooking.,2
Combining flavors and textures to create a delicious meal is what cooking is all about.,2
Combining higher heat or direct flames with lower heat during the cooking process helps to bring out especially robust flavors. ,2
Combining ingredients to make something delectable is an art.,2
Combining several cooking techniques can create delicious dishes.,2
Combining unique ingredients to construct a flavorful dish is a form of art.,2
Complex fault systems and seismic waves can cause complex regional patterns of shaking.,0
Congelation,2
Continental drift is a consequence of plate tectonics.,0
"Continental drift, the movement of land masses, is an area of study in geology.",0
Controlling temperature is an important part of using heat for cooking.,2
Convection cooking uses hot air to roast and quickly brown foods.,2
Convection-cooking is a modern method of cooking which uses a fan to circulate,2
Cookie cutters,2
Cooking a curry ,2
Cooking allows for experimenting with different flavors and techniques.,2
"Cooking allows us to access an abundance of nutrients and vitamins, ensuring a healthy and balanced diet. ",2
"Cooking allows us to get the most out of our food sources, providing an array of essential nutrients. ",2
"Cooking allows us to turn ordinary, mundane ingredients into meals that are nutritious and fulfilling. ",2
Cooking at the right temperature is important for food safety. ,2
Cooking brings out the flavors and aromas of ingredients.,2
Cooking can be a bonding experience when shared with family or friends.,2
Cooking can be a creative outlet for expressing yourself.,2
Cooking can be a form of art as well as a science.,2
Cooking can be a great way to get creative and experiment with flavor combinations.,2
Cooking can be a great way to nourish yourself and others.,2
Cooking can be a great way to relax after a long day.,2
Cooking can be a great way to teach children about nutrition and personal responsibility.,2
Cooking can be a learning experience for both novice and experienced chefs. ,2
Cooking can be a source of joy and wellness.,2
Cooking can be an art form that requires skill and practice.,2
Cooking can be an incredibly fun and creative activity. ,2
Cooking can be an opportunity to get creative and express yourself.,2
Cooking can be as creative or as straightforward as you make it.,2
Cooking can be both therapeutic and rewarding.,2
Cooking can be fast-paced or slow and steady.,2
Cooking can be used in professional and home kitchens.,2
Cooking can bring a touch of culture into your home.,2
"Cooking can either be a chore or a pleasure, depending on the chef's attitude.",2
"Cooking can help you learn about different cultures, ingredients, and nutrition.",2
Cooking can involve a range of different techniques utilizing heat.,2
Cooking delicious meals can be easier than you think.,2
Cooking enables people to enjoy better health and wellbeing by consuming a balanced diet. ,2
Cooking enables us to gain access to beneficial vitamins and minerals that would otherwise remain inaccessible. ,2
"Cooking enhances the nutrition in food, allowing people to maintain their health and vitality. ",2
Cooking food with heat is necessary for safety and hygiene purposes.,2
Cooking gives a person the chance to create something delicious.,2
"Cooking helps break down tough fibers, enabling better access to essential nutrients. ",2
"Cooking involves both heat and time, which bring out the flavor of food.",2
"Cooking involves preparation, heating, and pl",2
Cooking is a creative and enjoyable way to make delicious meals.,2
Cooking is a creative art form that can be made unique by adjusting the techniques and ingredients.,2
Cooking is a creative outlet for many people.,2
Cooking is a creative process of transforming ingredients into a delicious meal.,2
Cooking is a culinary art that allows you to create nourishing and flavorful dishes.,2
Cooking is a fun and rewarding experience.,2
Cooking is a great way to experiment with flavors and create delicious meals. ,2
Cooking is a great way to explore different cultures.,2
"Cooking is a great way to get creative, think outside the box, and make something delicious.",2
Cooking is a great way to get the kids involved in the kitchen.,2
Cooking is a great way to nourish yourself.,2
Cooking is a great way to practice mindfulness.,2
Cooking is a great way to use creative expression.,2
"Cooking is a part of cultural history, and it provides essential nutrients for sustaining life. ",2
Cooking is a process that combines a variety of ingredients to create delicious dishes.,2
"Cooking is a skill that can be practiced, learned, and refined over time.",2
Cooking is a way to experiment with flavors and textures.,2
Cooking is an art and a science. ,2
Cooking is an art as well as a science.,2
Cooking is an art as well as a science. ,2
Cooking is an art form that requires creativity and imagination.,2
Cooking is an art form that requires skill and creativity.,2
Cooking is an art of transforming ingredients into delicious dishes. ,2
Cooking is an art that can be honed over time.,2
Cooking is an important life skill that can save time and money.,2
Cooking is an opportunity to let your imagination and creativity run wild.,2
Cooking is as much a science as it is an art.,2
Cooking is essential for discovering the hidden nutrients that lie within different ingredients. ,2
Cooking is often accompanied by music or storytelling.,2
"Cooking is the key to keeping people's bodies nourished with healthy, balanced meals. ",2
"Cooking opens up a culinary world of flavors, textures, and nutrients that nourish the body. ",2
Cooking over an open flame has been a common technique of preparing food for centuries.,2
"Cooking provides many benefits, allowing us to gain access to essential vitamins and minerals. ",2
Cooking provides the opportunity to explore flavors from around the world.,2
Cooking requires knowledge of ingredients and techniques to create delicious meals.,2
"Cooking requires skill and precision with ingredients, measurements, and timing.",2
Cooking requires the balancing of time and temperature to achieve desired results.,2
Cooking time varies depending on the type of ingredients and cooking method.,2
"Cooking tools like heatproof utensils, pots, pans, and thermometers are necessary for cooking with heat.",2
Cooking transforms raw ingredients into easy-to-consume meals with proper nutrients. ,2
"Cooking unlocks the nutritional content of food, providing essential vitamins and minerals. ",2
"Cooking unlocks the nutritional power of food, allowing us to be better nourished and energized. ",2
Cooking utensils are necessary for preparing food.,2
Cooking with a slow cooker or Instant Pot can make meal preparation easier.,2
Cooking with a wok brings a unique flavor to the dish.,2
Cooking with fresh ingredients is always more flavorful.,2
Cooking with fresh ingredients provides a sense of accomplishment.,2
Cooking with fresh vegetables ensures the best flavor and nutrition.,2
"Cooking with fresh, locally-sourced ingredients is becoming increasingly popular.",2
Cooking with heat activates the enzymes and other nutrients in food.,2
"Cooking with heat can be intimidating for some, but ultimately rewarding.",2
Cooking with heat can dramatically alter the taste and texture of food.,2
Cooking with heat can help you to create meals that you otherwise wouldn't have access to. ,2
Cooking with heat helps preserve the vitamins and minerals that are in food.,2
Cooking with heat helps to unlock essential minerals and vitamins found in food. ,2
Cooking with heat is a skill that has been passed down from generation to generation for thousands of years.,2
Cooking with heat is a way to safely prepare food items to avoid illnesses such as food poisoning.,2
Cooking with heat is an ancient practice dating back to prehistoric eras.,2
"Cooking with heat is an art form, requiring skill and creativity to achieve the desired result.",2
Cooking with heat is the key to unlocking nutrients within food.,2
Cooking with heat releases flavorful aromas to tantalize your appetite.,2
Cooking with high temperatures or open flames can often lead,2
Cooks are not limited by the known recipes out there and can experiment freely with new combinations.,2
Coordinating cooking times and temperatures can be especially difficult when making multiple dishes.,2
Core samples,0
Corkscrews,2
"Correct, cells are the basic building blocks of life.",1
Creaming ,2
Creating a flavorful dish requires precise heat and timing measurements.,2
Creating delicious dishes involves a combination of flavors and ingredients.,2
Creating something unique is a rewarding experience.,2
Creative cooks use heat to manipulate flavors and textures of ingredients to create unique dishes.,2
Creative recipes can add more flavor to your cooking. ,2
Creative use of natural ingredients is important for a healthy and delicious meal.,2
Crepe makers,2
Crock-pots and Instant Pots are powerful tools to help you make a delicious meal with minimal effort.,2
Crystalline structures and their origins are studied in geology.,0
Cuisine relies on the knowledge of traditional cooking methods.,2
Culinary arts involve precision and creativity when cooking.,2
Culinary expertise is crucial in successful cooking.,2
Curing is a method used to preserve or enhance the flavor of food.,2
Cutting and chopping are important techniques to master when cooking.,2
Cutting boards,2
DNA can be extracted from cells for analysis.,1
DNA can be modified to create genetically modified organisms.,1
DNA can be used to determine paternity or a person's exact identity.,1
DNA can be used to diagnose or treat certain diseases.,1
DNA can be used to identify individual organisms.,1
DNA can be used to produce gene therapy treatments.,1
DNA can be used to trace a person's ancestry.,1
"DNA carries the genetic instructions needed for an organism to develop, survive and reproduce.",1
DNA codes for the structure of proteins within cells.,1
DNA contains genes that code for proteins.,1
"DNA determines traits such as eye color, hair color, and blood type.",1
DNA is central to the principles of modern genetics and biotechnology.,1
DNA is composed of a significant amount of genetic information.,1
DNA is composed of deoxyribonucleic acid.,1
"DNA is composed of two long, intertwined strands.",1
DNA is found in the cell's nucleus.,1
DNA is inherited from both parents.,1
DNA is the basis for all life.,1
DNA is the chemical blueprint for all life.,1
DNA is the largest molecule known in biology.,1
DNA is the repository of genetic information in all cells.,1
DNA is the template for assembling and operating proteins.,1
DNA is transcribed into,1
DNA is transcribed into messenger RNA (mRNA).,1
DNA is transferred from one generation to the next via meiosis and fertilisation.,1
DNA is used in paternity testing.,1
DNA molecules are composed of four nucleotide bases.,1
DNA mutations occur when the DNA sequence is altered in some way.,1
DNA plays an essential role in the transmission of hereditary information.,1
DNA polymerase is an enzyme that catalyzes DNA synthesis.,1
DNA replication allows organisms to pass genetic information to their offspring.,1
DNA sequences are unique to each individual.,1
DNA sequencing enables scientists to map out the genome.,1
DNA stores the instructions needed for life processes.,1
DNA strands can be cut and joined together.,1
DNA tests can determine a person's risk of developing certain diseases.,1
DNA undergoes chemical changes as it is replicated during cell division.,1
Data collection and analytical methods are used by geologists to study the Earth.,0
Deciding how much heat to use in recipes is an art form.,2
Decorating a cake,2
Deep Frying ,2
Deep fryers,2
Deep frying is a cooking technique that involves submerging food in hot fat or oil.,2
Deep frying is a more involved cooking technique that must be done correctly.,2
Deep-frying donuts,2
Deep-frying is a cooking method where food is submerged in hot oil.,2
Deep-frying is a cooking technique that involves cooking food in hot oil.,2
Deep-frying is a method of deep frying food in hot oil.,2
Deep-frying is a popular cooking method used by many. ,2
Deep-frying is a type of cooking in which food is submerged in hot oil.,2
Deep-frying is an effective cooking technique for crunchy textures.,2
Deep-frying is an intense cooking method used to quickly cook food and give it a crispy texture.,2
Deep-frying is used to make dishes such as French Fries and doughnuts.,2
Deep-frying uses hot oil to cook food quickly and evenly.,2
Deglazing a pan adds richness and flavor to a dish.,2
Deglazing is a great way to add flavor to pan-,2
Dehydrating ,2
Depositional systems are studied to understand Earth's history. ,0
Determining how much heat to use depends on the type of food being cooked.,2
Developing new recipes and creating dishes that are different from the traditional is a skill of the creative cook.,2
Different cooking methods can be used to manipulate the texture of food. ,2
Different cooking processes require different temperatures and equipment.,2
Different cooking techniques deliver different flavors depending on the type of heat used.,2
Different cooking temperatures and times can produce different results.,2
Different cooking temperatures are required for different types of cuisine.,2
Different countries and regions have distinct cuisine styles. ,2
Different cultures have their own style of cooking. ,2
Different cultures have their own unique styles of cooking and ingredients.,2
"Different cuts of meats and fish call for different cooking methods such as baking, grilling, and se",2
Different dishes require different cooking methods for optimal taste.,2
Different heat settings are needed for different cooking tasks.,2
"Different ingredients require different cooking methods and times such as vegetables, meat, grains, and beans.",2
Different ingredients require different cooking times.,2
"Different ingredients require different levels of heat for optimal cooking, so you should always be aware of what you are working with.",2
Different ingredients require different levels of heat to be cooked to perfection.,2
Different ingredients require different levels of heat to bring out their flavor.,2
Different kinds of foods require different levels of heat for optimal flavor.,2
"Different kinds of heat sources can be used, like ovens and microwaves. ",2
Different methods of cooking can yield different results.,2
Different recipes require different degrees of heat to be cooked properly.,2
Different spices and herbs can add unique flavors to a dish.,2
Different tools are used to cook different types of food.,2
Different types of cookware can be used to regulate heat and prevent burning or sticking.,2
Different types of equipment can be used for various cooking techniques.,2
Different types of heat can be used to achieve different results with food.,2
"Different types of heat sources are available such as stovetops, ovens, grills, and fire pits.",2
"Different types of heat, such as baking or grilling, can have very different effects on food.",2
Different types of recipes require different levels of heat.,2
Different types of rocks are studied in geology.,0
Digestion is the process of extracting energy from food.,1
Dishers,2
Double Boiling is a cooking process used to gently heat ingredients in a pot of hot water.,2
Double Deep-frying is a cooking method used for very high heat and fast cooking.,2
"Double-boiling is a gentle way of cooking food, such as custards, without burning it.",2
Dry heat cooks food quickly and is used for searing or grilling.,2
"During photosynthesis, chlorophyll and other specialized proteins help to convert light energy to chemical energy.",1
